Protein IDs,Protein names,Gene names,Fasta headers,rim15KO_C_T00_R1,rim15KO_C_T00_R2,rim15KO_C_T00_R3,rim15KO_C_T06_R1,rim15KO_C_T06_R2,rim15KO_C_T06_R3,rim15KO_C_T16_R1,rim15KO_C_T16_R2,rim15KO_C_T16_R3,rim15KO_C_T30_R1,rim15KO_C_T30_R2,rim15KO_C_T30_R3,rim15KO_P_T00_R1,rim15KO_P_T00_R2,rim15KO_P_T00_R3,rim15KO_P_T06_R1,rim15KO_P_T06_R2,rim15KO_P_T06_R3,rim15KO_P_T16_R1,rim15KO_P_T16_R2,rim15KO_P_T16_R3,rim15KO_P_T30_R1,rim15KO_P_T30_R2,rim15KO_P_T30_R3,WT_C_T00_R1,WT_C_T00_R2,WT_C_T00_R3,WT_C_T06_R1,WT_C_T06_R2,WT_C_T06_R3,WT_C_T16_R1,WT_C_T16_R2,WT_C_T16_R3,WT_C_T30_R1,WT_C_T30_R2,WT_C_T30_R3,WT_P_T00_R1,WT_P_T00_R2,WT_P_T00_R3,WT_P_T06_R1,WT_P_T06_R2,WT_P_T06_R3,WT_P_T16_R1,WT_P_T16_R2,WT_P_T16_R3,WT_P_T30_R1,WT_P_T30_R2,WT_P_T30_R3,WT/rim15KO_C_T00_R1,WT/rim15KO_C_T00_R2,WT/rim15KO_C_T00_R3,WT/rim15KO_C_T06_R1,WT/rim15KO_C_T06_R2,WT/rim15KO_C_T06_R3,WT/rim15KO_C_T16_R1,WT/rim15KO_C_T16_R2,WT/rim15KO_C_T16_R3,WT/rim15KO_C_T30_R1,WT/rim15KO_C_T30_R2,WT/rim15KO_C_T30_R3,WT/rim15KO_P_T00_R1,WT/rim15KO_P_T00_R2,WT/rim15KO_P_T00_R3,WT/rim15KO_P_T06_R1,WT/rim15KO_P_T06_R2,WT/rim15KO_P_T06_R3,WT/rim15KO_P_T16_R1,WT/rim15KO_P_T16_R2,WT/rim15KO_P_T16_R3,WT/rim15KO_P_T30_R1,WT/rim15KO_P_T30_R2,WT/rim15KO_P_T30_R3
Q9URQ5,High temperature lethal protein 1,HTL1,sp|Q9URQ5|HTL1_YEAST High temperature lethal protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HTL1 PE=1 SV=1,1.0611,0.93983,1.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0611,0.83483,1.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.81349,0.83483,0.852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.81349,0.93983,0.852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.77548,0.95846,0.81277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.77548,1.0433403584917471,0.81277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9P305,mRNA stability protein IGO2,IGO2,sp|Q9P305|IGO2_YEAST mRNA stability protein IGO2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IGO2 PE=1 SV=3,1.0193,0.98591,0.87741,0.81771,1.1326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0193,1.0572,0.87741,NaN,NaN,0.86778,NaN,NaN,NaN,NaN,NaN,NaN,1.0212,1.0572,0.73212,1.4343,0.91568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0212,0.98591,0.73212,NaN,NaN,0.9359,NaN,NaN,NaN,NaN,NaN,NaN,1.2255,1.0256,0.81228,1.658,0.82156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2255,0.9750390015600623,0.81228,NaN,NaN,1.1067,NaN,NaN,NaN,NaN,NaN,NaN
Q99394,Trafficking protein particle complex subunit 33,TRS33,sp|Q99394|TRS33_YEAST Trafficking protein particle complex subunit 33 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRS33 PE=1 SV=1,1.1988,0.93801,1.1355,0.72724,NaN,0.92847,NaN,NaN,NaN,NaN,NaN,NaN,1.1988,1.272,1.1355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2255,1.272,1.067,0.93572,NaN,0.90268,NaN,NaN,NaN,NaN,NaN,NaN,1.2255,0.93801,1.067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0863,1.1679,0.96993,1.3107,NaN,1.11,NaN,NaN,NaN,NaN,NaN,NaN,1.0863,0.8562376915831835,0.96993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q99385,Vacuolar calcium ion transporter,VCX1,sp|Q99385|VCX1_YEAST Vacuolar calcium ion transporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VCX1 PE=1 SV=1,0.74203,0.92767,1.0192,0.96652,1.0979,NaN,NaN,NaN,NaN,0.61954,NaN,NaN,0.74203,0.83477,1.0192,1.1925,NaN,NaN,NaN,1.1658,NaN,NaN,NaN,NaN,0.96386,0.83477,1.0995,1.0982,1.0552,NaN,NaN,NaN,NaN,1.0293,NaN,NaN,0.96386,0.92767,1.0995,1.265,NaN,NaN,NaN,1.8284,NaN,NaN,NaN,NaN,1.2963,0.95761,1.2535,1.1741,1.0093,NaN,NaN,NaN,NaN,1.3932,NaN,NaN,1.2963,1.044266455028665,1.2535,0.81289,NaN,NaN,NaN,1.4003052665481075,NaN,NaN,NaN,NaN
Q99383,Nuclear polyadenylated RNA-binding protein 4,HRP1,sp|Q99383|HRP1_YEAST Nuclear polyadenylated RNA-binding protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HRP1 PE=1 SV=1,1.0616,1.0745,0.97787,0.9959,1.0189,0.95135,0.87922,0.82717,0.90826,0.87692,0.86591,1.1506,1.0616,0.99846,0.97787,0.86116,0.86927,0.86548,0.78176,0.84843,0.86229,0.69269,0.79518,0.83014,1.007,0.99846,0.98526,1.0704,0.91979,0.86066,0.77143,0.84547,0.71264,0.81649,0.92424,0.84414,1.007,1.0745,0.98526,0.88372,0.94346,0.85785,0.81329,0.8014,0.78853,0.76875,0.75965,0.72944,0.92714,0.98291,0.9579,0.98945,0.89859,0.86456,0.84727,0.95618,0.78466,0.8265,0.96477,0.89522,0.92714,1.0173871463307933,0.9579,0.99141,1.0716620406588577,1.0001,1.0167,1.003149890656662,0.88942,1.1747,0.8806693086745927,0.88384
Q99369,Family of serine hydrolases 3,FSH3,sp|Q99369|FSH3_YEAST Family of serine hydrolases 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FSH3 PE=2 SV=1,NaN,NaN,0.93599,NaN,0.82445,NaN,NaN,0.88121,0.97318,NaN,NaN,NaN,NaN,NaN,0.93599,NaN,NaN,NaN,NaN,1.0195,0.81525,0.3318,0.94283,0.76914,NaN,NaN,1.1777,NaN,1.0514,NaN,NaN,1.4448,1.003,NaN,NaN,NaN,NaN,NaN,1.1777,NaN,NaN,NaN,NaN,0.68402,0.79919,0.38031,0.7896,0.94257,NaN,NaN,1.2573,NaN,1.3382,NaN,NaN,2.0328,1.0542,NaN,NaN,NaN,NaN,NaN,1.2573,NaN,NaN,NaN,NaN,0.9079353550027238,1.0057,1.2351,0.8244702778464835,1.3146
Q99321,Diphosphoinositol polyphosphate phosphohydrolase DDP1,DDP1,sp|Q99321|DDP1_YEAST Diphosphoinositol polyphosphate phosphohydrolase DDP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DDP1 PE=1 SV=3,1.3689,1.2396,1.3996,NaN,NaN,1.7516,NaN,NaN,NaN,NaN,NaN,1.5585,1.3689,1.2609,1.3996,2.0944,1.5528,NaN,NaN,1.5204,1.4383,1.2409,1.3687,1.2251,0.97901,1.2609,1.0284,NaN,NaN,1.2745,NaN,NaN,NaN,NaN,NaN,0.95101,0.97901,1.2396,1.0284,1.7842,1.3542,NaN,NaN,1.3668,1.1506,1.1835,1.2159,1.0778,0.69485,1.2134,0.77323,NaN,NaN,0.70287,NaN,NaN,NaN,NaN,NaN,0.66361,0.69485,0.8241305422778968,0.77323,0.78227,0.9438414346389805,NaN,NaN,0.8413259296651522,0.72648,0.89969,0.8729050279329609,0.78421
Q99316,Protein disulfide isomerase MPD2,MPD2,sp|Q99316|MPD2_YEAST Protein disulfide isomerase MPD2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MPD2 PE=1 SV=1,0.94968,1.0565,1.1064,NaN,NaN,1.6312,1.3966,1.7813,2.4461,NaN,2.0562,2.0845,0.94968,1.0272,1.1064,NaN,NaN,1.2673,NaN,0.89098,NaN,0.73634,NaN,NaN,0.98763,1.0272,1.0376,NaN,NaN,1.3212,1.3264,1.3184,1.3295,NaN,1.3774,1.2831,0.98763,1.0565,1.0376,NaN,NaN,1.1365,NaN,1.0526,NaN,0.86463,NaN,NaN,1.0947,1.0046,0.99447,NaN,NaN,0.8149,0.84646,0.68486,0.64301,NaN,0.68416,0.74826,1.0947,0.9954210631096955,0.99447,NaN,NaN,0.97883,NaN,1.1677604689726044,NaN,1.1993,NaN,NaN
Q99312,IMP-specific 5-nucleotidase 1,ISN1,sp|Q99312|ISN1_YEAST IMP-specific 5-nucleotidase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ISN1 PE=1 SV=1,0.91236,1.0148,0.99009,0.93817,0.99038,1.0644,1.3393,1.4459,1.1865,1.3955,1.3531,1.0155,0.91236,1.0004,0.99009,1.6804,1.7223,1.8099,1.6971,1.6457,1.577,1.8846,1.7922,1.5827,1.0851,1.0004,1.1746,1.2479,1.257,1.3283,1.484,1.2547,1.139,1.6168,1.2727,1.175,1.0851,1.0148,1.1746,1.9751,1.627,2.0364,1.7486,1.7753,1.5697,1.6611,1.7782,1.6654,1.3074,1.0828,1.1353,1.1237,1.1611,1.182,1.0431,0.9108,0.9558,1.246,0.9418,0.92043,1.3074,0.9235315847801995,1.1353,1.0944,0.9048136083966704,1.0784,1.1509,1.03415824689494,0.9905,0.91093,1.043209747751883,1.0122
Q99299,Altered inheritance of mitochondria protein 44,AIM44,sp|Q99299|AIM44_YEAST Altered inheritance of mitochondria protein 44 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AIM44 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
